Frame,Customer ID,Center_X,Center_Y
110,1,3658,1378
111,1,3634,1366
112,1,3616,1361
113,1,3570,1363
114,1,3524,1370
115,1,3491,1375
116,1,3450,1380
117,1,3408,1382
118,1,3359,1381
119,1,3290,1380
120,1,3232,1374
121,1,3170,1367
122,1,3114,1358
123,1,3068,1350
124,1,3024,1343
125,1,2988,1335
126,1,2958,1328
127,1,2923,1322
128,1,2891,1321
129,1,2860,1319
130,1,2825,1319
131,1,2791,1321
132,1,2759,1323
133,1,2725,1324
134,1,2692,1327
135,1,2660,1330
136,1,2629,1328
137,1,2597,1323
138,1,2566,1318
139,1,2540,1309
140,1,2511,1299
141,1,2480,1288
142,1,2453,1285
143,1,2426,1285
144,1,2403,1279
145,1,2378,1276
146,1,2356,1277
147,1,2333,1276
148,1,2309,1274
149,1,2286,1272
150,1,2259,1271
151,1,2215,1275
152,1,2186,1276
153,1,2167,1274
154,1,2155,1273
155,1,2146,1273
156,1,2135,1273
157,1,2125,1270
158,1,2111,1267
159,1,2094,1265
160,1,2072,1257
161,1,2045,1251
162,1,2016,1228
163,1,1994,1213
164,1,1978,1205
165,1,1964,1199
166,1,1951,1195
167,1,1940,1191
168,1,1932,1190
169,1,1927,1188
170,1,1920,1188
171,1,1914,1184
172,1,1911,1181
173,1,1912,1180
174,1,1911,1177
175,1,1912,1173
176,1,1914,1169
177,1,1914,1163
178,1,1914,1149
179,1,1915,1126
180,1,1914,1103
181,1,1914,1067
182,1,1914,1039
183,1,1907,1035
184,1,1902,1023
185,1,1898,1014
186,1,1892,1001
187,1,1886,995
188,1,1878,992
189,1,1871,986
190,1,1864,984
191,1,1854,979
192,1,1842,978
193,1,1832,976
194,1,1824,976
195,1,1807,973
196,1,1794,972
197,1,1782,970
198,1,1772,965
199,1,1764,965
200,1,1756,962
201,1,1750,956
202,1,1742,951
203,1,1736,948
204,1,1731,944
205,1,1728,943
206,1,1726,940
207,1,1724,936
208,1,1722,933
209,1,1721,931
210,1,1719,930
211,1,1718,928
212,1,1718,928
213,1,1715,928
214,1,1710,927
215,1,1705,927
216,1,1702,926
217,1,1700,926
218,1,1699,926
219,1,1701,925
220,1,1705,926
221,1,1710,927
222,1,1717,929
223,1,1728,930
224,1,1742,930
225,1,1754,931
226,1,1763,933
227,1,1770,933
228,1,1775,932
229,1,1782,932
230,1,1787,931
231,1,1794,932
232,1,1804,932
233,1,1813,932
234,1,1822,934
235,1,1835,934
236,1,1843,932
237,1,1849,931
238,1,1856,931
239,1,1869,929
240,1,1865,931
241,1,1870,929
242,1,1874,931
243,1,1879,929
244,1,1881,927
245,1,1883,928
246,1,1886,930
247,1,1886,931
248,1,1887,932
249,1,1890,931
250,1,1893,931
251,1,1897,930
252,1,1899,928
253,1,1899,928
254,1,1900,924
255,1,1901,923
256,1,1903,922
257,1,1906,920
258,1,1908,920
259,1,1910,919
260,1,1919,913
261,1,1921,914
262,1,1941,913
263,1,1957,911
264,1,1973,913
265,1,1988,916
266,1,2003,917
267,1,2017,917
268,1,2029,914
269,1,2037,917
270,1,2043,920
271,1,2046,923
272,1,2049,925
273,1,2051,926
274,1,2054,926
275,1,2058,929
276,1,2061,930
277,1,2064,931
278,1,2069,933
279,1,2071,933
280,1,2071,932
281,1,2067,929
282,1,2066,928
283,1,2062,923
284,1,2066,927
285,1,2068,931
286,1,2068,931
287,1,2067,935
288,1,2066,934
289,1,2068,935
290,1,2069,936
291,1,2068,937
292,1,2064,935
293,1,2057,931
294,1,2060,937
295,1,2062,942
296,1,2063,944
297,1,2063,947
298,1,2062,947
299,1,2062,950
300,1,2068,953
301,1,2071,958
302,1,2070,962
303,1,2062,961
304,1,2063,961
305,1,2062,964
306,1,2055,968
307,1,2046,967
308,1,2031,968
309,1,2020,973
310,1,2010,976
311,1,1991,984
312,1,1979,991
313,1,1970,996
314,1,1964,998
315,1,1962,1001
316,1,1961,1004
317,1,1962,1006
318,1,1960,1008
319,1,1958,1009
320,1,1956,1011
321,1,1955,1011
322,1,1953,1011
323,1,1951,1009
324,1,1950,1009
325,1,1950,1008
326,1,1950,1008
327,1,1948,1008
328,1,1947,1009
329,1,1944,1009
330,1,1937,1012
331,1,1926,1014
332,1,1912,1019
333,1,1901,1025
334,1,1890,1030
335,1,1880,1036
336,1,1870,1042
337,1,1860,1051
338,1,1854,1060
339,1,1847,1061
340,1,1843,1066
341,1,1835,1068
342,1,1828,1063
343,1,1823,1060
344,1,1819,1055
345,1,1819,1051
346,1,1798,1050
347,1,1784,1049
348,1,1777,1042
349,1,1766,1039
350,1,1757,1036
351,1,1761,1043
352,1,1750,1045
353,1,1744,1045
354,1,1733,1046
355,1,1725,1046
356,1,1717,1046
357,1,1709,1045
358,1,1702,1044
359,1,1695,1043
360,1,1687,1043
361,1,1677,1043
362,1,1669,1042
363,1,1657,1041
364,1,1644,1040
365,1,1636,1038
366,1,1628,1037
367,1,1622,1033
368,1,1618,1029
369,1,1610,1026
370,1,1608,1019
371,1,1607,1013
372,1,1590,1010
373,1,1578,1007
374,1,1564,1008
375,1,1553,1009
376,1,1538,1008
377,1,1523,1015
378,1,1506,1019
379,1,1487,1018
380,1,1474,1018
381,1,1458,1019
382,1,1442,1019
383,1,1426,1018
384,1,1411,1017
385,1,1401,1016
386,1,1396,1014
387,1,1388,1010
